Key;NIBE Default;Intervall;Disabled;Device;Subdevice;Enum;Writeable;Comment;Relevant;Titel;Re­gister­typ;Re­gister;Divi­sions­faktor;Ein­heit;Vari­ablen­größe;Mindest­wert;Höchst­wert;Stan­dard­wert
i00000;;;;;;;;;no;Relay status;MODBUS_INPUT_REGISTER;0;1;;u8;0;0;0
i00001;X;;;VVM;AUSSEN;;;;yes;Aktuelle Außenlufttemperatur (BT1);MODBUS_INPUT_REGISTER;1;10;°C;s16;0;0;0
i00002;;;;;;;;;no;Vorlauf (EP23-BT2);MODBUS_INPUT_REGISTER;2;10;°C;s16;0;0;0
i00003;;;;;;;;;no;Vorlauf (EP22-BT2);MODBUS_INPUT_REGISTER;3;10;°C;s16;0;0;0
i00004;;;;VVM;HZ_FBH;;;;yes;Vorlauf (EP21-BT2);MODBUS_INPUT_REGISTER;4;10;°C;s16;0;0;0
i00005;X;;;VVM;HZ_HK;;;;yes;Vorlauf (BT2);MODBUS_INPUT_REGISTER;5;10;°C;s16;0;0;0
i00007;X;;;VVM;HZ;;;;yes;Rücklauf (BT3);MODBUS_INPUT_REGISTER;7;10;°C;s16;0;0;0
i00008;X;;;VVM;BW;;;;yes;Brauchwasser, oben (BT7);MODBUS_INPUT_REGISTER;8;10;°C;s16;0;0;0
i00009;X;;;VVM;BW;;;;yes;Brauchwasserbereitung (BT6);MODBUS_INPUT_REGISTER;9;10;°C;s16;0;0;0
i00036;;;;;;;;;no;Sicherheitstemperaturbegrenzer (EB100-FD1);MODBUS_INPUT_REGISTER;36;1;;s16;0;0;0
i00037;X;;;VVM;AUSSEN;;;;yes;Mittlere Temperatur (BT1);MODBUS_INPUT_REGISTER;37;10;°C;s16;0;0;0
i00038;;;;;;;;;no;Heizkesseltemperatur (BT52);MODBUS_INPUT_REGISTER;38;10;°C;s16;0;0;0
i00039;X;;;VVM;WP;;;;yes;Externer Vorlauf (BT25);MODBUS_INPUT_REGISTER;39;10;°C;s16;0;0;0
i00040;X;;;VVM;WP;;;;yes;Volumenstrommesser (BF1);MODBUS_INPUT_REGISTER;40;10;l/m;s16;0;0;0
i00041;;;;;;;;;no;Fremdstromanode (EB100-FR1);MODBUS_INPUT_REGISTER;41;1;;s16;0;0;0
i00046;X;;;ENERGY;HAUS;;;;yes;Strom (BE3);MODBUS_INPUT_REGISTER;46;10;A;u32;0;0;0
i00048;X;;;ENERGY;HAUS;;;;yes;Strom (BE2);MODBUS_INPUT_REGISTER;48;10;A;u32;0;0;0
i00050;X;;;ENERGY;HAUS;;;;yes;Strom (BE1);MODBUS_INPUT_REGISTER;50;10;A;u32;0;0;0
i00060;X;;;;;;;;no;-;MODBUS_INPUT_REGISTER;60;10;°C;s16;0;0;0
i00061;X;;;;;;;;no;-;MODBUS_INPUT_REGISTER;61;10;°C;s16;0;0;0
i00062;X;;;;;;;;no;-;MODBUS_INPUT_REGISTER;62;10;°C;s16;0;0;0
i00063;X;;;;;;;;no;-;MODBUS_INPUT_REGISTER;63;10;°C;s16;0;0;0
i00064;X;;;;;;;;no;-;MODBUS_INPUT_REGISTER;64;10;°C;s16;0;0;0
i00065;X;;;;;;;;no;-;MODBUS_INPUT_REGISTER;65;10;°C;s16;0;0;0
i00072;X;;;VVM;iZH;;;;yes;Zusatzheizung (BT63);MODBUS_INPUT_REGISTER;72;10;°C;s16;0;0;0
i00075;;;;;;;;;no;Rücklauf (EP23-BT3);MODBUS_INPUT_REGISTER;75;10;°C;s16;0;0;0
i00076;;;;;;;;;no;Rücklauf (EP22-BT3);MODBUS_INPUT_REGISTER;76;10;°C;s16;0;0;0
i00077;;;;VVM;HZ_FBH;;;;yes;Rücklauf (EP21-BT3);MODBUS_INPUT_REGISTER;77;10;°C;s16;0;0;0
i00078;;;;;;;;;no;Rücklauf (EP15-BT3);MODBUS_INPUT_REGISTER;78;10;°C;s16;0;0;0
i00087;;;;;;;;;no;Brauchwasseraustritt (BT70);MODBUS_INPUT_REGISTER;87;10;°C;s16;0;0;0
i00094;;;;;;;;;no;Vorlauf (EP47-BT2);MODBUS_INPUT_REGISTER;94;10;°C;s16;0;0;0
i00095;;;;;;;;;no;Vorlauf (EP46-BT2);MODBUS_INPUT_REGISTER;95;10;°C;s16;0;0;0
i00096;;;;;;;;;no;Vorlauf (EP45-BT2);MODBUS_INPUT_REGISTER;96;10;°C;s16;0;0;0
i00097;;;;;;;;;no;Vorlauf (EP44-BT2);MODBUS_INPUT_REGISTER;97;10;°C;s16;0;0;0
i00098;;;;;;;;;no;Rücklauf (EP47-BT3);MODBUS_INPUT_REGISTER;98;10;°C;s16;0;0;0
i00099;;;;;;;;;no;Rücklauf (EP46-BT3);MODBUS_INPUT_REGISTER;99;10;°C;s16;0;0;0
i00100;;;;;;;;;no;Rücklauf (EP45-BT3);MODBUS_INPUT_REGISTER;100;10;°C;s16;0;0;0
i00101;;;;;;;;;no;Rücklauf (EP44-BT3);MODBUS_INPUT_REGISTER;101;10;°C;s16;0;0;0
i00108;;;;;;;;;no;id:149;MODBUS_INPUT_REGISTER;108;10;°C;s16;0;0;0
i00109;;;;;;;;;no;Mittlere Raumtemperatur Klimatisierungssystem 8 (BT50);MODBUS_INPUT_REGISTER;109;10;°C;s16;0;0;0
i00110;;;;;;;;;no;Mittlere Raumtemperatur Klimatisierungssystem 7 (BT50);MODBUS_INPUT_REGISTER;110;10;°C;s16;0;0;0
i00111;;;;;;;;;no;Mittlere Raumtemperatur Klimatisierungssystem 6 (BT50);MODBUS_INPUT_REGISTER;111;10;°C;s16;0;0;0
i00112;;;;;;;;;no;Mittlere Raumtemperatur Klimatisierungssystem 5 (BT50);MODBUS_INPUT_REGISTER;112;10;°C;s16;0;0;0
i00113;;;;;;;;;no;Mittlere Raumtemperatur Klimatisierungssystem 4 (BT50);MODBUS_INPUT_REGISTER;113;10;°C;s16;0;0;0
i00114;;;;;;;;;no;Mittlere Raumtemperatur Klimatisierungssystem 3 (BT50);MODBUS_INPUT_REGISTER;114;10;°C;s16;0;0;0
i00115;;;;;;;;;no;Mittlere Raumtemperatur Klimatisierungssystem 2 (BT50);MODBUS_INPUT_REGISTER;115;10;°C;s16;0;0;0
i00116;;;;;;;;;no;Mittlere Raumtemperatur Klimatisierungssystem 1 (BT50);MODBUS_INPUT_REGISTER;116;10;°C;s16;0;0;0
i00128;;;;;;;;;no;id:193;MODBUS_INPUT_REGISTER;128;1;;u8;0;0;0
i00129;;;;;;;;;no;Betriebsmodus Mischventil Klimatisierungssystem 8;MODBUS_INPUT_REGISTER;129;1;;u8;0;0;0
i00130;;;;;;;;;no;Betriebsmodus Mischventil Klimatisierungssystem 7;MODBUS_INPUT_REGISTER;130;1;;u8;0;0;0
i00131;;;;;;;;;no;Betriebsmodus Mischventil Klimatisierungssystem 6;MODBUS_INPUT_REGISTER;131;1;;u8;0;0;0
i00132;;;;;;;;;no;Betriebsmodus Mischventil Klimatisierungssystem 5;MODBUS_INPUT_REGISTER;132;1;;u8;0;0;0
i00133;;;;;;;;;no;id:246;MODBUS_INPUT_REGISTER;133;1;;u8;0;0;0
i00134;;;;;;;;;no;Relaisstatus (ERS 1);MODBUS_INPUT_REGISTER;134;1;;u8;0;0;0
i00135;;;;;;;;;no;Ventilatordrehzahl (AZ30-GQ2);MODBUS_INPUT_REGISTER;135;1;%;u8;0;0;0
i00136;;;;;;;;;no;Ventilatordrehzahl (AZ30-GQ3);MODBUS_INPUT_REGISTER;136;1;%;u8;0;0;0
i00137;;;;;;;;;?;Kontrolle des aktuellen Brauchwassermodus durch;MODBUS_INPUT_REGISTER;137;1;;s8;0;0;0
i00141;;;;VVM;WP;;;;yes;Max. Verdichterfrequenz, Erwärmung;MODBUS_INPUT_REGISTER;141;100;Hz;u16;0;0;0
i00151;;;;;;;;;no;Externe Justierung Klimatisierungssystem 8;MODBUS_INPUT_REGISTER;151;1;;u8;0;0;0
