Titel	Re­gister­typ	Re­gister	Divi­sions­faktor	Ein­heit	Vari­ablen­größe	Mindest­wert	Höchst­wert	Stan­dard­wert	
Aktuelle Außenlufttemperatur (BT1)	MODBUS_INPUT_REGISTER	1	10	°C	s16	0	0	0
Vorlauf (EP23-BT2)	MODBUS_INPUT_REGISTER	2	10	°C	s16	0	0	0
Vorlauf (EP22-BT2)	MODBUS_INPUT_REGISTER	3	10	°C	s16	0	0	0
Vorlauf (EP21-BT2)	MODBUS_INPUT_REGISTER	4	10	°C	s16	0	0	0
Vorlauf (BT2)	MODBUS_INPUT_REGISTER	5	10	°C	s16	0	0	0
Rücklauf (BT3)	MODBUS_INPUT_REGISTER	7	10	°C	s16	0	0	0
Brauchwasser, oben (BT7)	MODBUS_INPUT_REGISTER	8	10	°C	s16	0	0	0
Brauchwasserbereitung (BT6)	MODBUS_INPUT_REGISTER	9	10	°C	s16	0	0	0
Sicherheitstemperaturbegrenzer (EB100-FD1)	MODBUS_INPUT_REGISTER	36	1		s16	0	0	0
Mittlere Temperatur (BT1)	MODBUS_INPUT_REGISTER	37	10	°C	s16	0	0	0
Heizkesseltemperatur (BT52)	MODBUS_INPUT_REGISTER	38	10	°C	s16	0	0	0
Externer Vorlauf (BT25)	MODBUS_INPUT_REGISTER	39	10	°C	s16	0	0	0
Volumenstrommesser (BF1)	MODBUS_INPUT_REGISTER	40	10	l/m	s16	0	0	0
Fremdstromanode (EB100-FR1)	MODBUS_INPUT_REGISTER	41	1		s16	0	0	0
-	MODBUS_INPUT_REGISTER	60	10	°C	s16	0	0	0
-	MODBUS_INPUT_REGISTER	61	10	°C	s16	0	0	0
-	MODBUS_INPUT_REGISTER	62	10	°C	s16	0	0	0
-	MODBUS_INPUT_REGISTER	63	10	°C	s16	0	0	0
-	MODBUS_INPUT_REGISTER	64	10	°C	s16	0	0	0
-	MODBUS_INPUT_REGISTER	65	10	°C	s16	0	0	0
Zusatzheizung (BT63)	MODBUS_INPUT_REGISTER	72	10	°C	s16	0	0	0
Rücklauf (EP23-BT3)	MODBUS_INPUT_REGISTER	75	10	°C	s16	0	0	0
Rücklauf (EP22-BT3)	MODBUS_INPUT_REGISTER	76	10	°C	s16	0	0	0
Rücklauf (EP21-BT3)	MODBUS_INPUT_REGISTER	77	10	°C	s16	0	0	0
Rücklauf (EP15-BT3)	MODBUS_INPUT_REGISTER	78	10	°C	s16	0	0	0
Brauchwasseraustritt (BT70)	MODBUS_INPUT_REGISTER	87	10	°C	s16	0	0	0
Vorlauf (EP47-BT2)	MODBUS_INPUT_REGISTER	94	10	°C	s16	0	0	0
Vorlauf (EP46-BT2)	MODBUS_INPUT_REGISTER	95	10	°C	s16	0	0	0
Vorlauf (EP45-BT2)	MODBUS_INPUT_REGISTER	96	10	°C	s16	0	0	0
Vorlauf (EP44-BT2)	MODBUS_INPUT_REGISTER	97	10	°C	s16	0	0	0
Rücklauf (EP47-BT3)	MODBUS_INPUT_REGISTER	98	10	°C	s16	0	0	0
Rücklauf (EP46-BT3)	MODBUS_INPUT_REGISTER	99	10	°C	s16	0	0	0
Rücklauf (EP45-BT3)	MODBUS_INPUT_REGISTER	100	10	°C	s16	0	0	0
Rücklauf (EP44-BT3)	MODBUS_INPUT_REGISTER	101	10	°C	s16	0	0	0
id:149	MODBUS_INPUT_REGISTER	108	10	°C	s16	0	0	0
Mittlere Raumtemperatur Klimatisierungssystem 8 (BT50)	MODBUS_INPUT_REGISTER	109	10	°C	s16	0	0	0
Mittlere Raumtemperatur Klimatisierungssystem 7 (BT50)	MODBUS_INPUT_REGISTER	110	10	°C	s16	0	0	0
Mittlere Raumtemperatur Klimatisierungssystem 6 (BT50)	MODBUS_INPUT_REGISTER	111	10	°C	s16	0	0	0
Mittlere Raumtemperatur Klimatisierungssystem 5 (BT50)	MODBUS_INPUT_REGISTER	112	10	°C	s16	0	0	0
Mittlere Raumtemperatur Klimatisierungssystem 4 (BT50)	MODBUS_INPUT_REGISTER	113	10	°C	s16	0	0	0
Mittlere Raumtemperatur Klimatisierungssystem 3 (BT50)	MODBUS_INPUT_REGISTER	114	10	°C	s16	0	0	0
Mittlere Raumtemperatur Klimatisierungssystem 2 (BT50)	MODBUS_INPUT_REGISTER	115	10	°C	s16	0	0	0
Mittlere Raumtemperatur Klimatisierungssystem 1 (BT50)	MODBUS_INPUT_REGISTER	116	10	°C	s16	0	0	0
id:193	MODBUS_INPUT_REGISTER	128	1		u8	0	0	0
Betriebsmodus Mischventil Klimatisierungssystem 8	MODBUS_INPUT_REGISTER	129	1		u8	0	0	0
Betriebsmodus Mischventil Klimatisierungssystem 7	MODBUS_INPUT_REGISTER	130	1		u8	0	0	0
Betriebsmodus Mischventil Klimatisierungssystem 6	MODBUS_INPUT_REGISTER	131	1		u8	0	0	0
Betriebsmodus Mischventil Klimatisierungssystem 5	MODBUS_INPUT_REGISTER	132	1		u8	0	0	0
id:246	MODBUS_INPUT_REGISTER	133	1		u8	0	0	0
Relaisstatus (ERS 1)	MODBUS_INPUT_REGISTER	134	1		u8	0	0	0
Ventilatordrehzahl (AZ30-GQ2)	MODBUS_INPUT_REGISTER	135	1	%	u8	0	0	0
Ventilatordrehzahl (AZ30-GQ3)	MODBUS_INPUT_REGISTER	136	1	%	u8	0	0	0
Kontrolle des aktuellen Brauchwassermodus durch	MODBUS_INPUT_REGISTER	137	1		s8	0	0	0
Max. Verdichterfrequenz, Erwärmung	MODBUS_INPUT_REGISTER	141	100	Hz	u16	0	0	0
Externe Justierung Klimatisierungssystem 8	MODBUS_INPUT_REGISTER	151	1		u8	0	0	0
Externe Justierung Klimatisierungssystem 7	MODBUS_INPUT_REGISTER	152	1		u8	0	0	0
Externe Justierung Klimatisierungssystem 6	MODBUS_INPUT_REGISTER	153	1		u8	0	0	0
Externe Justierung Klimatisierungssystem 5	MODBUS_INPUT_REGISTER	154	1		u8	0	0	0
Klimatisierungssystem 8	MODBUS_INPUT_REGISTER	156	1		u8	0	0	0
Klimatisierungssystem 7	MODBUS_INPUT_REGISTER	157	1		u8	0	0	0
Klimatisierungssystem 6	MODBUS_INPUT_REGISTER	158	1		u8	0	0	0
Klimatisierungssystem 5	MODBUS_INPUT_REGISTER	159	1		u8	0	0	0
Brauchwasserkomfort Rücklauf (BT82)	MODBUS_INPUT_REGISTER	174	10	°C	s16	0	0	0
Brauchwasserkomfort Speicher (BT83)	MODBUS_INPUT_REGISTER	175	10	°C	s16	0	0	0
Verdichter Gesamtzeit Pool, Wärmepumpe 1 (EP14)	MODBUS_INPUT_REGISTER	269	1	h	u32	0	2147483647	0
Verdichter Gesamtzeit Pool 2, Wärmepumpe 1 (EP14)	MODBUS_INPUT_REGISTER	271	1	h	u32	0	2147483647	0
Verdichter Gesamtzeit Kühlung, Haupteinheit (EP14)	MODBUS_INPUT_REGISTER	279	1	h	u32	0	2147483647	0
Verdichter Gesamtzeit Pool, Haupteinheit (EP14)	MODBUS_INPUT_REGISTER	281	1	h	u32	0	2147483647	0
Verdichter Gesamtzeit Pool 2, Haupteinheit (EP14)	MODBUS_INPUT_REGISTER	283	1	h	u32	0	2147483647	0
Wärmepumpe 1 angeforderte Verdichterfrequenz	MODBUS_INPUT_REGISTER	301	1	Hz	u8	0	0	0
Haupteinheit angeforderte Verdichterfrequenz	MODBUS_INPUT_REGISTER	302	1	Hz	u8	0	0	0
Frostschutz Wärmeübertrager Haupteinheit	MODBUS_INPUT_REGISTER	310	1		u8	0	0	0
Status (OPT)	MODBUS_INPUT_REGISTER	311	1		u8	0	0	0
Version (OPT)	MODBUS_INPUT_REGISTER	312	1		u16	0	0	0
OPT Relais, Modulation Niveau	MODBUS_INPUT_REGISTER	313	10	%	s16	0	0	0
OPT Betriebszeit	MODBUS_INPUT_REGISTER	315	1	h	u16	0	0	0
Verfügbare Verdichter Heizung	MODBUS_INPUT_REGISTER	317	1		u8	0	0	0
Verfügbare Verdichter Brauchwasser	MODBUS_INPUT_REGISTER	318	1		u8	0	0	0
Verfügbare Verdichter Pool 1	MODBUS_INPUT_REGISTER	319	1		u8	0	0	0
Verfügbare Verdichter Kühlung	MODBUS_INPUT_REGISTER	321	1		u8	0	0	0
Vorlauftemperatur (BT64)	MODBUS_INPUT_REGISTER	337	10	°C	s16	0	0	0
Wärmepumpe Funktionalität 2	MODBUS_INPUT_REGISTER	338	1		u32	0	0	0
Status (S135)	MODBUS_INPUT_REGISTER	344	1		u8	0	0	0
Status Bedarf Pumpendrehzahl (S135)	MODBUS_INPUT_REGISTER	345	1		u8	0	0	0
Status Bedarf Ventilatordrehzahl (S135)	MODBUS_INPUT_REGISTER	346	1		u8	0	0	0
Status Zylinderspule (S135)	MODBUS_INPUT_REGISTER	347	1		u8	0	0	0
Status Verdichter Erwärmer (S135)	MODBUS_INPUT_REGISTER	348	1		u8	0	0	0
Status Verdichter Bedarf (S135)	MODBUS_INPUT_REGISTER	350	1		u8	0	0	0
Gradminuten	MODBUS_HOLDING_REGISTER	11	10	GM	s32	-30000	30000	0
Blockierung (ERS 1)	MODBUS_INPUT_REGISTER	358	1		u8	0	0	0
AZ30-EB17	MODBUS_INPUT_REGISTER	359	1		u8	0	0	0
Vorlauf (S135-BT12)	MODBUS_INPUT_REGISTER	360	10	°C	s16	0	0	0
Rücklauf (S135-BT13)	MODBUS_INPUT_REGISTER	361	10	°C	s16	0	0	0
Verdampfer (S135-BT16)	MODBUS_INPUT_REGISTER	362	10	°C	s16	0	0	0
Enteisungsfühler (S135-BT76)	MODBUS_INPUT_REGISTER	363	10	°C	s16	0	0	0
Eintrittsluft (S135-BT77)	MODBUS_INPUT_REGISTER	364	10	°C	s16	0	0	0
Alarm Nummer (S135)	MODBUS_INPUT_REGISTER	365	1		u16	0	0	0
Enteisung (S135)	MODBUS_INPUT_REGISTER	366	1		u8	0	0	0
Status Relais 5  (S135)	MODBUS_INPUT_REGISTER	367	1		u8	0	0	0
Status Relais 4 (S135)	MODBUS_INPUT_REGISTER	368	1		u8	0	0	0
Status Relais 3 (S135)	MODBUS_INPUT_REGISTER	369	1		u8	0	0	0
Status Relais 2 (S135)	MODBUS_INPUT_REGISTER	370	1		u8	0	0	0
Status Relais 1 (S135)	MODBUS_INPUT_REGISTER	371	1		u8	0	0	0
Status Relais 0 (S135)	MODBUS_INPUT_REGISTER	372	1		u8	0	0	0
Pumpendrehzahl (S135)	MODBUS_INPUT_REGISTER	373	1	%	u8	0	0	0
Gewählte Ventilatordrehzahl	MODBUS_INPUT_REGISTER	374	1	%	u8	0	0	0
Version (S135)	MODBUS_INPUT_REGISTER	376	1		u16	0	0	0
id:803	MODBUS_INPUT_REGISTER	377	1		u32	0	2147483647	0
id:804	MODBUS_INPUT_REGISTER	379	1		u32	0	0	0
id:805	MODBUS_INPUT_REGISTER	381	1		u32	0	2147483647	0
id:806	MODBUS_INPUT_REGISTER	383	1		u32	0	0	0
Sekunden bis zur Leerzeit, Ladepumpe 1	MODBUS_INPUT_REGISTER	392	1		u8	0	0	0
Sekunden bis zur Leerzeit, Ladepumpe 0	MODBUS_INPUT_REGISTER	393	1		u8	0	0	0
Alarmnummer von Außenluftwärmepumpe (EB101)	MODBUS_INPUT_REGISTER	400	1		u8	0	0	0
Ventilatordrehzahl (EB101)	MODBUS_INPUT_REGISTER	401	1	rpm	u16	0	0	0
Max. Ventilatordrehzahl (EB101)	MODBUS_INPUT_REGISTER	402	1	rpm	u16	0	0	0
Min. Ventilatordrehzahl (EB101)	MODBUS_INPUT_REGISTER	403	1	rpm	u16	0	0	0
Max. Verdichterdrehzahl (EB101)	MODBUS_INPUT_REGISTER	404	10	Hz	u16	0	0	0
Min. Verdichterdrehzahl (EB101)	MODBUS_INPUT_REGISTER	405	10	Hz	u16	0	0	0
Erzeugte Leistung Wärme (EB101)	MODBUS_INPUT_REGISTER	406	10	kW	u16	0	0	0
